Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TXN,01 - Prepare Clean Cart,4,4,150,178.90369998349342,136.09839999116957,224.4949999731034,0.0,0.5372853352230469,0.5372853352230469,210,210,220,220,220,220,220,220,220,220,220
TXN,02 - Add / Remove Linked Ticket project,3,3,2207.2277999832295,2221.0789333330467,2207.2277999832295,2233.3372000139207,0.0,0.40296400141728517,0.40296400141728517,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
POST,Add Seat Item - linked seat,3,3,39,47.35063334616522,37.956400017719716,64.64270001742989,76.0,0.40296400141728517,0.40296400141728517,39,39,65,65,65,65,65,65,65,65,65
POST,Add Show Item - linked admission,4,4,64,71.97147500119172,50.34529999829829,96.09840001212433,76.0,0.5372853352230469,0.5372853352230469,78,78,96,96,96,96,96,96,96,96,96
POST,Cancel Seat Ticket,4,4,41,56.02259997976944,38.05249999277294,94.57560000009835,76.0,0.5372853352230469,0.5372853352230469,51,51,95,95,95,95,95,95,95,95,95
POST,Cancel Seat Ticket - linked seat,3,3,44,43.77123335143551,32.46220003347844,55.19109999295324,76.0,0.40296400141728517,0.40296400141728517,44,44,55,55,55,55,55,55,55,55,55
POST,Cancel Show Ticket,4,4,52,57.59325002145488,42.91970003396273,83.15650001168251,76.0,0.5372853352230469,0.5372853352230469,52,52,83,83,83,83,83,83,83,83,83
POST,Cancel Show Ticket - linked admission,3,3,37,43.595766668052725,33.596199995372444,59.74719999358058,76.0,0.40296400141728517,0.40296400141728517,37,37,60,60,60,60,60,60,60,60,60
POST,Get Cart Number,4,4,45,64.2685250059003,43.768699979409575,121.49689998477697,76.0,0.5372853352230469,0.5372853352230469,46,46,120,120,120,120,120,120,120,120,120
,Aggregated,32,32,52,274.45087187697936,32.46220003347844,2233.3372000139207,59.375,4.298282681784375,4.298282681784375,55,83,120,140,220,2200,2200,2200,2200,2200,2200
