Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TXN,01 - Prepare Clean Cart,1,0,287.60979999788105,287.60979999788105,287.60979999788105,287.60979999788105,0.0,0.340338574199954,0.0,290,290,290,290,290,290,290,290,290,290,290
TXN,02 - Add / Remove Linked Ticket project,1,0,2649.647800019011,2649.647800019011,2649.647800019011,2649.647800019011,0.0,0.340338574199954,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
POST,Add Seat Item - linked seat,1,0,348.8329999963753,348.8329999963753,348.8329999963753,348.8329999963753,626.0,0.340338574199954,0.0,350,350,350,350,350,350,350,350,350,350,350
POST,Add Show Item - linked admission,1,0,113.32439997931942,113.32439997931942,113.32439997931942,113.32439997931942,626.0,0.340338574199954,0.0,110,110,110,110,110,110,110,110,110,110,110
POST,Cancel Seat Ticket,1,0,43.48479997133836,43.48479997133836,43.48479997133836,43.48479997133836,61.0,0.340338574199954,0.0,43,43,43,43,43,43,43,43,43,43,43
POST,Cancel Seat Ticket - linked seat,1,0,99.00769998785108,99.00769998785108,99.00769998785108,99.00769998785108,61.0,0.340338574199954,0.0,99,99,99,99,99,99,99,99,99,99,99
POST,Cancel Show Ticket,1,0,42.92949999216944,42.92949999216944,42.92949999216944,42.92949999216944,61.0,0.340338574199954,0.0,43,43,43,43,43,43,43,43,43,43,43
POST,Cancel Show Ticket - linked admission,1,0,82.98330003162846,82.98330003162846,82.98330003162846,82.98330003162846,61.0,0.340338574199954,0.0,83,83,83,83,83,83,83,83,83,83,83
POST,Get Cart Number,1,0,200.79480001004413,200.79480001004413,200.79480001004413,200.79480001004413,624.0,0.340338574199954,0.0,200,200,200,200,200,200,200,200,200,200,200
,Aggregated,9,0,110,429.84612222062424,42.92949999216944,2649.647800019011,235.55555555555554,3.063047167799586,0.0,110,200,290,350,2600,2600,2600,2600,2600,2600,2600
