Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TXN,01 - Prepare Clean Cart,4,0,140,192.09719999344088,132.72669998696074,334.5092000090517,0.0,0.4897843172596113,0.0,160,160,330,330,330,330,330,330,330,330,330
TXN,02 - Add / Remove Linked Ticket project,3,3,2500,2453.6451000215798,2257.4978000484407,2611.3349000224844,0.0,0.3673382379447085,0.3673382379447085,2500,2500,2600,2600,2600,2600,2600,2600,2600,2600,2600
POST,Add Seat Item - linked seat,3,3,200,187.0389999821782,95.12119996361434,266.3412999827415,95.0,0.3673382379447085,0.3673382379447085,200,200,270,270,270,270,270,270,270,270,270
POST,Add Show Item - linked admission,4,3,36,77.69059999554884,30.397499969694763,207.24089996656403,218.5,0.4897843172596113,0.3673382379447085,37,37,210,210,210,210,210,210,210,210,210
POST,Cancel Seat Ticket,4,0,44,52.92980000376701,42.36790002323687,73.19130003452301,61.0,0.4897843172596113,0.0,52,52,73,73,73,73,73,73,73,73,73
POST,Cancel Seat Ticket - linked seat,3,0,59,96.65723333212857,43.82620000978932,187.41519999457523,61.0,0.3673382379447085,0.0,59,59,190,190,190,190,190,190,190,190,190
POST,Cancel Show Ticket,4,0,55,56.22404998575803,42.14739997405559,69.65840002521873,61.0,0.4897843172596113,0.0,58,58,70,70,70,70,70,70,70,70,70
POST,Cancel Show Ticket - linked admission,3,0,71,69.10510000307113,58.40680003166199,77.96119997510687,61.0,0.3673382379447085,0.0,71,71,78,78,78,78,78,78,78,78,78
POST,Get Cart Number,4,0,43,82.55997498054057,30.52239998942241,206.02489996235818,623.5,0.4897843172596113,0.0,50,50,210,210,210,210,210,210,210,210,210
,Aggregated,32,9,70,320.7920562454092,30.397499969694763,2611.3349000224844,140.84375,3.9182745380768904,1.1020147138341254,71,140,200,210,330,2500,2600,2600,2600,2600,2600
