Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TXN,01 - Prepare Clean Cart,4,0,170,170.71664999821223,110.17040000297129,227.7305999887176,0.0,0.4409727570291104,0.0,180,180,230,230,230,230,230,230,230,230,230
TXN,02 - Add / Remove Linked Ticket project,3,3,2600,2795.5408666748554,2557.3245999985375,3221.1322000366636,0.0,0.3307295677718328,0.3307295677718328,2600,2600,3200,3200,3200,3200,3200,3200,3200,3200,3200
POST,Add Seat Item - linked seat,3,0,450,508.2126666675322,396.93139999872074,681.8900000071153,626.0,0.3307295677718328,0.0,450,450,680,680,680,680,680,680,680,680,680
POST,Add Show Item - linked admission,3,2,23,142.9792000174833,20.94820002093911,384.60059999488294,264.0,0.3307295677718328,0.2204863785145552,23,23,380,380,380,380,380,380,380,380,380
POST,Cancel Seat Ticket,4,0,61,57.316325008287095,31.902900023851544,68.95310000982136,61.0,0.4409727570291104,0.0,67,67,69,69,69,69,69,69,69,69,69
POST,Cancel Seat Ticket - linked seat,3,0,82,83.65743333706632,79.91610001772642,89.1653000144288,61.0,0.3307295677718328,0.0,82,82,89,89,89,89,89,89,89,89,89
POST,Cancel Show Ticket,4,0,56,59.38809999497607,54.23810001229867,64.1677999519743,61.0,0.4409727570291104,0.0,63,63,64,64,64,64,64,64,64,64,64
POST,Cancel Show Ticket - linked admission,3,1,58,54.809366643894464,44.47379999328405,61.95879995357245,59.666666666666664,0.3307295677718328,0.1102431892572776,58,58,62,62,62,62,62,62,62,62,62
POST,Get Cart Number,4,0,48,53.67865001608152,22.404000046662986,94.76320003159344,624.5,0.4409727570291104,0.0,49,49,95,95,95,95,95,95,95,95,95
,Aggregated,31,6,69,390.96766129331365,20.94820002093911,3221.1322000366636,194.1290322580645,3.4175388669756055,0.6614591355436656,69,110,230,380,680,2600,3200,3200,3200,3200,3200
