Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TXN,01 - Prepare Clean Cart,491,406,110,136.84202484760903,56.851400004234165,541.4116999600083,0.0,8.368876099148276,6.920088994407739,110,130,150,170,220,320,410,440,540,540,540
TXN,02 - Add / Remove Linked Ticket project,469,469,2100,2323.5002385934185,2083.8082000263967,14061.443299986422,0.0,7.993895907333078,7.993895907333078,2100,2200,2200,2200,2200,2200,2300,12000,14000,14000,14000
POST,Add Seat Item - linked seat,469,466,32,101.50741513752476,15.232900041155517,11877.63930001529,86.40085287846482,7.993895907333078,7.9427622448128234,32,37,41,44,51,71,150,210,12000,12000,12000
POST,Add Show Item - linked admission,489,485,29,139.03361922194267,15.170599974226207,11481.406499980949,87.63394683026584,8.33478699080144,8.266608774107768,29,35,38,42,53,65,140,9000,11000,11000,11000
POST,Cancel Seat Ticket,491,361,35,38.79118248639636,16.751599963754416,147.6449000183493,85.4786150712831,8.368876099148276,6.153084056603926,35,40,46,49,59,67,81,92,150,150,150
POST,Cancel Seat Ticket - linked seat,469,336,33,35.906145202074406,15.499899978749454,120.35969999851659,84.52665245202559,7.993895907333078,5.726970202268474,33,38,41,44,52,62,73,93,120,120,120
POST,Cancel Show Ticket,491,339,35,37.392876374624414,17.889300012029707,102.4310999782756,84.62729124236253,8.368876099148276,5.778103864788728,35,39,45,48,57,62,72,77,100,100,100
POST,Cancel Show Ticket - linked admission,469,358,32,36.19523560874033,16.76709996536374,128.1726000015624,86.47334754797441,7.993895907333078,6.101950394083672,32,37,41,45,56,64,80,100,130,130,130
POST,Get Cart Number,491,226,34,60.354958246523694,16.694999998435378,382.58160004625097,386.5824847250509,8.368876099148276,3.8520692431924854,34,44,54,89,130,180,300,320,380,380,380
,Aggregated,4329,3446,38,317.2468626933691,15.170599974226207,14061.443299986422,100.92584892584892,73.78587501672685,58.735533681598696,38,51,80,100,2100,2100,2200,2200,12000,14000,14000
