Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784616387,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784616388,10,,Aggregated,0.000000,0.000000,67,300,310,360,410,410,440,440,440,440,440,50,40,66,169.37754600076005,21.92189998459071,442.93580000521615,114.34
1784616389,20,,Aggregated,0.000000,0.000000,72,210,300,310,360,410,410,440,440,440,440,100,81,71,150.49038200057112,21.675000025425106,442.93580000521615,109.26
1784616390,30,,Aggregated,49.000000,39.000000,70,180,310,320,410,2200,2200,2200,2200,2200,2200,190,160,70,250.03047579053887,18.418099964037538,2245.9496000083163,98.73684210526316
1784616391,50,,Aggregated,50.000000,40.500000,65,110,250,310,410,2200,2200,2200,2200,2200,2200,280,238,65,268.4473967865675,18.418099964037538,2245.9496000083163,96.50357142857143
1784616392,60,,Aggregated,44.333333,36.333333,60,100,210,290,410,2200,2200,2200,2200,2200,2200,366,315,59,272.2285825151968,17.2012000111863,2245.9496000083163,96.23497267759562
1784616393,70,,Aggregated,65.250000,55.250000,56,100,200,250,440,2200,2200,2200,2900,2900,2900,460,397,56,283.3344306528528,17.2012000111863,2850.1915999804623,97.95869565217392
1784616394,80,,Aggregated,66.000000,55.800000,60,100,190,240,450,2200,2200,2200,2900,2900,2900,550,475,60,289.29298363668335,17.2012000111863,2850.1915999804623,98.34181818181818
1784616395,90,,Aggregated,66.000000,55.800000,56,100,180,220,460,2200,2200,2200,2900,2900,2900,640,553,56,289.9562745315052,17.2012000111863,2850.1915999804623,97.61875
1784616396,100,,Aggregated,78.285714,67.714286,53,98,170,210,460,2200,2200,2200,2900,2900,2900,730,630,53,291.19470438382535,17.2012000111863,2850.1915999804623,98.41506849315068
1784616397,100,,Aggregated,80.000000,69.125000,53,100,160,200,540,2200,2200,2200,2900,2900,2900,820,708,53,294.1399492688971,17.2012000111863,2850.1915999804623,98.40975609756097
1784616398,100,,Aggregated,80.000000,69.125000,52,100,160,200,2100,2200,2200,2200,2900,2900,2900,860,743,51,306.86212162829685,17.2012000111863,2850.1915999804623,96.82674418604651
1784616399,100,,Aggregated,79.900000,68.900000,50,98,160,210,2100,2200,2200,2200,2900,2900,2900,900,779,50,318.35798100044485,17.2012000111863,2850.1915999804623,95.9811111111111
1784616400,100,,Aggregated,81.100000,70.400000,48,94,150,200,2100,2200,2200,2200,2900,2900,2900,950,816,48,304.0472153690031,17.2012000111863,2850.1915999804623,97.44421052631579
1784616401,100,,Aggregated,78.800000,68.900000,46,87,140,190,2100,2200,2200,2200,2900,2900,2900,1000,856,46,291.041921700642,17.2012000111863,2850.1915999804623,98.778
