method,path,group,purpose,auth_required,query_params,body_params,headers,response_keys,status_samples,source
GET,/ucenter/captcha.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,"{""captchaId"": ""***REDACTED***"", ""r"": ""1782122352227""}",{},"{""accept"": ""image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8""}",,200,"current_playwright_crawl,current_spa_static"
GET,/ucenter/getCaptchaId.xhtml,auth,Issues a captcha session id used by login / register flows.,False,{},{},{},,,local_wk_endpoints_registry
POST,/ucenter/getCaptchaId.xhtml,auth,获取验证码会话 ID,False,{},{},"{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""content-type"": ""application/x-www-form-urlencoded;charset=UTF-8"", ""lang"": ""en""}","errcode,data,success",200,"current_playwright_crawl,current_spa_static_template,legacy_anticket_har"
POST,/ucenter/guest/createAndLogin.xhtml,auth,游客账号创建并登录,False,{},"{""_front_end_data_object"": ""静态推断；需按实际游客登录/绑定流程补字段""}",{},,,current_spa_static
POST,/ucenter/member/bindEmail.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,{},{},{},,,current_spa_static_template
POST,/ucenter/member/bindMobile.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,{},{},{},,,current_spa_static_template
POST,/ucenter/member/bindWxUserInfo.xhtml,auth,绑定微信用户信息,False,{},"{""_front_end_data_object"": ""静态推断；需按微信绑定流程补字段""}",{},,,current_spa_static
GET,/ucenter/member/getUpHeadToken.xhtml,auth,获取头像/图片上传 token,False,{},{},{},,,current_spa_static
GET,/ucenter/member/globalConfig/telephoneCountryCodes.xhtml,auth,Returns the list of supported country codes shown in the phone dropdown.,False,{},{},"{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en""}","errcode,data,success",200,"current_playwright_crawl,current_spa_static,legacy_anticket_har,local_wk_endpoints_registry"
GET,/ucenter/openapi/openlogin/getAuthUrl.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,{},{},{},,,current_spa_static_template
POST,/ucenter/openapi/openlogin/pollResult.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,{},{},{},,,current_spa_static_template
POST,/ucenter/rest/createAndLoginWithBindEmail.xhtml,auth,创建/保存相关接口,False,{},{},{},,,current_spa_static_template
POST,/ucenter/rest/createAndLoginWithBindMobile.xhtml,auth,创建/保存相关接口,False,{},{},{},,,current_spa_static_template
POST,/ucenter/rest/getLogonInfo.xhtml,auth,获取当前登录会员信息,True,{},{},"{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""content-type"": ""application/x-www-form-urlencoded;charset=UTF-8"", ""lang"": ""en""}","errcode,data,success",200,"current_playwright_crawl,legacy_anticket_har"
GET,/ucenter/rest/logout.xhtml,auth,Logout endpoint.,False,{},{},{},,,local_wk_endpoints_registry
POST,/ucenter/rest/logout.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,{},{},{},,,current_spa_static_template
POST,/ucenter/rest/pcLoginByPass.xhtml,auth,账号密码登录，带图片验证码,False,{},"{""mobileOrEmail"": ""***REDACTED***"", ""password"": ""***REDACTED***"", ""captchaId"": ""***REDACTED***"", ""captcha"": ""***REDACTED***""}","{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""content-type"": ""application/x-www-form-urlencoded"", ""lang"": ""en""}","errcode,data,success",200,"current_playwright_crawl,current_spa_static_template,legacy_anticket_har"
