Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /mainframe/index.html (home),28925,1,170,522.8754425827856,13.200499932281673,22218.15480000805,623.9784269662921,92.62982070261363,0.003202413853158639,170,230,280,320,480,700,8300,11000,21000,22000,22000
GET,GET /menpiao/index.html (ticket SPA),23242,0,170,527.8169522978664,13.777399901300669,22606.67959996499,3954.0,74.43050277511308,0.0,170,220,280,320,480,700,8400,11000,21000,22000,23000
GET,GET /sso/getCaptchaId (API),17509,0,190,545.7764915418962,15.248400042764843,22472.430600086227,67.0,56.07106415495461,0.0,190,250,290,330,500,710,8300,11000,21000,22000,22000
POST,POST /theatre/program/save (create program),5666,0,210,549.8357055955897,23.58729997649789,21144.359799916856,96.0,18.144876891996848,0.0,210,270,310,350,510,720,8400,11000,20000,21000,21000
GET,SSO flow: captcha image,11528,0,180,477.70768217468776,16.121599939651787,26094.085399992764,1426.534437890354,36.91742689921279,0.0,180,220,240,260,370,510,3600,14000,25000,26000,26000
POST,SSO flow: doubleCheck,11398,0,200,314.1522048256876,19.680800032801926,26079.93200002238,46.0,36.50111309830217,0.0,200,240,270,290,360,490,750,1100,24000,25000,26000
GET,SSO flow: getCaptchaId,11615,0,190,512.5482523629825,16.019599977880716,22281.340699992143,67.0,37.19603690443759,0.0,190,250,290,330,490,700,8300,9300,20000,22000,22000
POST,SSO flow: login,11360,0,210,278.97562460399365,24.987800046801567,24353.531500091776,145.6744718309859,36.37942137188214,0.0,210,260,290,320,380,460,610,920,13000,23000,24000
GET,SSO: captcha image,1542,0,71,164.97254824749317,14.859499991871417,5799.259299994446,1425.0006485084307,4.938122161570622,0.0,71,97,170,230,380,490,590,1000,5700,5800,5800
POST,SSO: doubleCheck,1542,0,78,172.86036497949237,20.246199914254248,6504.608600051142,46.0,4.938122161570622,0.0,78,110,160,240,380,500,590,640,6400,6500,6500
GET,SSO: getCaptchaId,1542,0,120,613.4952161472893,15.699499985203147,13170.02040008083,67.0,4.938122161570622,0.0,120,170,240,320,1400,2900,8400,10000,13000,13000,13000
POST,SSO: login,1542,0,66,154.19671076577006,25.371499941684306,6559.59029996302,147.21789883268482,4.938122161570622,0.0,66,96,150,230,380,520,600,1100,5600,6600,6600
,Aggregated,127411,1,180,470.7436157100376,13.200499932281673,26094.085399992764,1049.0895919504596,408.02275144479535,0.003202413853158639,180,230,280,310,450,650,6800,9300,21000,25000,26000
