Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782119745,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782119749,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782119751,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782119752,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782119753,1,,Aggregated,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,165.64249992370605,165.64249992370605,165.64249992370605,165.64249992370605,73.0
1782119754,1,,Aggregated,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,2,0,140,151.329199958127,137.01589999254793,165.64249992370605,83.5
1782119755,1,,Aggregated,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,2,0,140,151.329199958127,137.01589999254793,165.64249992370605,83.5
1782119756,1,,Aggregated,0.125000,0.000000,140,140,170,170,170,170,170,170,170,170,170,3,0,140,114.78679995828618,41.701999958604574,165.64249992370605,87.0
1782119757,1,,Aggregated,0.125000,0.000000,140,140,170,170,170,170,170,170,170,170,170,3,0,140,114.78679995828618,41.701999958604574,165.64249992370605,87.0
1782119758,1,,Aggregated,0.300000,0.000000,140,140,170,170,170,170,170,170,170,170,170,4,0,42,91.780074959388,22.759899962693453,165.64249992370605,88.75
1782119759,1,,Aggregated,0.300000,0.000000,140,140,170,170,170,170,170,170,170,170,170,4,0,42,91.780074959388,22.759899962693453,165.64249992370605,88.75
1782119760,1,,Aggregated,0.300000,0.000000,42,140,140,170,170,170,170,170,170,170,170,5,0,42,80.65233996603638,22.759899962693453,165.64249992370605,89.8
1782119761,1,,Aggregated,0.300000,0.000000,42,140,140,170,170,170,170,170,170,170,170,5,0,42,80.65233996603638,22.759899962693453,165.64249992370605,89.8
