Method,Name,Error,Occurrences,First Seen,Last Seen
POST,Cancel Seat Ticket,CatchResponseError('Cancel Seat Ticket business failed: errcode=1125 success=False msg=Operations are too frequent. Please try again later.'),2677,2026-07-20T10:07:27Z,2026-07-20T10:12:11Z
POST,Add Seat Item - linked seat,"CatchResponseError('addSeatItems business failed: errcode=1125 success=False msg=操作过快,请稍后重试')",7161,2026-07-20T10:07:17Z,2026-07-20T10:12:11Z
TXN,01 - Prepare Clean Cart,RuntimeError('tradeNo not found'),7299,2026-07-20T10:07:13Z,2026-07-20T10:12:12Z
POST,Cancel Seat Ticket - linked seat,CatchResponseError('Cancel Seat Ticket - linked seat HTTP status is not 200: 0'),3,2026-07-20T10:09:13Z,2026-07-20T10:10:52Z
POST,Add Show Item - linked admission,CatchResponseError('addShowItems business failed: errcode=1125 success=False msg=Operations are too frequent. Please try again later.'),16,2026-07-20T10:07:25Z,2026-07-20T10:11:59Z
POST,Cancel Show Ticket,CatchResponseError('Cancel Show Ticket business failed: errcode=1125 success=False msg=Operations are too frequent. Please try again later.'),2710,2026-07-20T10:07:24Z,2026-07-20T10:12:11Z
POST,Cancel Show Ticket - linked admission,CatchResponseError('Cancel Show Ticket - linked admission business failed: errcode=1125 success=False msg=Operations are too frequent. Please try again later.'),2656,2026-07-20T10:07:30Z,2026-07-20T10:12:12Z
POST,Cancel Show Ticket - linked admission,CatchResponseError('Cancel Show Ticket - linked admission HTTP status is not 200: 0'),1,2026-07-20T10:09:59Z,2026-07-20T10:09:59Z
POST,Add Seat Item - linked seat,CatchResponseError('addSeatItems business failed: errcode=1122 success=False msg=Cart does not exist'),50,2026-07-20T10:07:17Z,2026-07-20T10:12:07Z
POST,Cancel Show Ticket,CatchResponseError('Cancel Show Ticket business failed: errcode=1122 success=False msg=Cart does not exist'),4594,2026-07-20T10:07:13Z,2026-07-20T10:12:12Z
POST,Add Show Item - linked admission,"CatchResponseError('addShowItems business failed: errcode=1125 success=False msg=操作过快,请稍后重试')",7208,2026-07-20T10:07:15Z,2026-07-20T10:12:11Z
POST,Add Seat Item - linked seat,CatchResponseError('addSeatItems HTTP status is not 200: 0'),3,2026-07-20T10:10:14Z,2026-07-20T10:10:55Z
POST,Cancel Seat Ticket,CatchResponseError('Cancel Seat Ticket HTTP status is not 200: 0'),2,2026-07-20T10:11:18Z,2026-07-20T10:12:03Z
POST,Add Show Item - linked admission,CatchResponseError('addShowItems HTTP status is not 200: 0'),2,2026-07-20T10:09:23Z,2026-07-20T10:10:22Z
POST,Get Cart Number,CatchResponseError('HTTP 500'),5473,2026-07-20T10:07:13Z,2026-07-20T10:12:12Z
TXN,02 - Add / Remove Linked Ticket project,RuntimeError('Add Show Item failed'),7220,2026-07-20T10:07:17Z,2026-07-20T10:12:12Z
POST,Cancel Show Ticket - linked admission,CatchResponseError('Cancel Show Ticket - linked admission business failed: errcode=1122 success=False msg=Cart does not exist'),4567,2026-07-20T10:07:17Z,2026-07-20T10:12:12Z
POST,Get Cart Number,CatchResponseError('tradeNo not found'),1839,2026-07-20T10:07:20Z,2026-07-20T10:12:11Z
POST,Cancel Seat Ticket,CatchResponseError('Cancel Seat Ticket business failed: errcode=1122 success=False msg=Cart does not exist'),4620,2026-07-20T10:07:13Z,2026-07-20T10:12:12Z
POST,Cancel Seat Ticket - linked seat,CatchResponseError('Cancel Seat Ticket - linked seat business failed: errcode=1125 success=False msg=Operations are too frequent. Please try again later.'),2753,2026-07-20T10:07:20Z,2026-07-20T10:12:11Z
POST,Cancel Seat Ticket - linked seat,CatchResponseError('Cancel Seat Ticket - linked seat business failed: errcode=1122 success=False msg=Cart does not exist'),4464,2026-07-20T10:07:17Z,2026-07-20T10:12:12Z
POST,Get Cart Number,CatchResponseError('HTTP 0'),1,2026-07-20T10:09:40Z,2026-07-20T10:09:40Z
POST,Add Show Item - linked admission,CatchResponseError('addShowItems business failed: errcode=1122 success=False msg=Cart does not exist'),58,2026-07-20T10:07:14Z,2026-07-20T10:12:11Z
POST,Add Seat Item - linked seat,CatchResponseError('addSeatItems business failed: errcode=1125 success=False msg=Operations are too frequent. Please try again later.'),13,2026-07-20T10:07:21Z,2026-07-20T10:11:37Z
