Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TXN,01 - Prepare Clean Cart,7299,7299,310,428.98896695368745,42.9225999978371,19074.278699990828,0.0,24.417729909658718,24.417729909658718,310,370,500,610,870,1300,2300,2800,9600,19000,19000
TXN,02 - Add / Remove Linked Ticket project,7220,7220,2400,2806.7542079779337,2071.624000032898,21562.629499996547,0.0,24.153447040380318,24.153447040380318,2400,2600,2700,2900,3200,3900,7100,18000,20000,22000,22000
POST,Add Seat Item - linked seat,7227,7227,29,259.0088854293524,13.471700018271804,19184.56199998036,82.94645080946451,24.17686450981005,24.17686450981005,29,50,140,260,360,580,1200,4600,16000,19000,19000
POST,Add Show Item - linked admission,7284,7284,29,264.2015222813753,13.138700043782592,19170.478700019885,82.95826468973091,24.367549618023578,24.367549618023578,29,54,250,260,350,570,1200,4600,16000,19000,19000
POST,Cancel Seat Ticket,7299,7299,32,149.66836389913902,12.992899981327355,19002.238999994006,86.08288806685847,24.417729909658718,24.417729909658718,32,48,89,260,320,560,1100,1200,4800,19000,19000
POST,Cancel Seat Ticket - linked seat,7220,7220,32,139.85636739614625,13.562400010414422,19203.812599997036,86.55221606648199,24.153447040380318,24.153447040380318,32,47,84,260,310,560,980,1200,4800,19000,19000
POST,Cancel Show Ticket,7304,7304,32,130.6382106925074,13.655600021593273,9391.081600042526,86.24397590361446,24.434456673537095,24.434456673537095,32,44,78,250,310,560,980,1200,4600,9400,9400
POST,Cancel Show Ticket - linked admission,7224,7224,32,140.70037868221058,13.635399984195828,9595.291300036479,86.12264673311185,24.16682845148302,24.16682845148302,32,44,91,260,310,570,1200,1200,4600,9600,9600
POST,Get Cart Number,7313,7313,39,148.45012898935633,12.264299963135272,9591.407200030517,69.56570490906604,24.46456484851818,24.46456484851818,39,54,94,260,310,570,1100,1200,4800,9600,9600
,Aggregated,65390,65390,44,494.73415101986046,12.264299963135272,21562.629499996547,64.50157516439823,218.75261800144997,218.75261800144997,44,250,310,400,2100,2500,3000,3800,18000,21000,22000
